0 ,17.248095 ,146106 ,449.954 , 68.178 , 61.945 ,0.140920
10 ,26.297373 ,256248 ,445.007 , 67.882 , 65.354 ,0.247153
20 ,29.234640 ,392047 ,443.184 , 68.130 , 72.174 ,0.378132
30 ,30.609470 ,507785 ,445.122 , 67.816 , 74.836 ,0.489762
40 ,31.457926 ,607037 ,455.071 , 71.683 , 78.517 ,0.585491
50 ,32.163189 ,702464 ,454.980 , 70.041 , 83.417 ,0.677531
60 ,32.851971 ,807303 ,451.089 , 68.255 , 84.539 ,0.778649
70 ,33.781311 ,969369 ,446.439 , 68.210 , 87.532 ,0.934962
80 ,35.035904 ,1227683 ,450.910 , 71.423 , 96.368 ,1.184108
90 ,37.267841 ,1830305 ,445.168 , 68.042 ,109.942 ,1.765340
100 ,42.706760 ,5396821 ,457.484 , 70.351 ,202.665 ,5.205267
