0 ,6.693347 ,4856 ,  7.341 ,  1.724 ,  1.618 ,0.114962
5 ,7.493399 ,6178 ,  7.996 ,  1.810 ,  1.636 ,0.146259
10 ,8.207450 ,9244 ,  7.593 ,  2.248 ,  1.825 ,0.218845
15 ,8.610541 ,12338 ,  7.200 ,  1.883 ,  2.340 ,0.292093
20 ,8.967674 ,15491 ,  7.210 ,  1.812 ,  2.025 ,0.366738
25 ,9.263419 ,18375 ,  7.124 ,  1.823 ,  2.412 ,0.435014
30 ,9.522507 ,20963 ,  7.350 ,  1.886 ,  2.398 ,0.496283
35 ,9.759110 ,23587 ,  7.432 ,  1.836 ,  2.282 ,0.558404
40 ,9.969991 ,25765 ,  7.453 ,  1.983 ,  3.234 ,0.609967
45 ,10.173431 ,28067 ,  7.137 ,  2.280 ,  2.504 ,0.664465
50 ,10.343006 ,29931 ,  7.110 ,  1.783 ,  3.047 ,0.708594
55 ,10.509359 ,31957 ,  7.674 ,  1.846 ,  2.557 ,0.756558
60 ,10.700098 ,34363 ,  7.484 ,  1.856 ,  3.323 ,0.813518
65 ,10.926137 ,37705 ,  7.481 ,  1.903 ,  2.730 ,0.892637
70 ,11.189939 ,41432 ,  7.230 ,  2.108 ,  3.573 ,0.980871
75 ,11.459290 ,45510 ,  7.112 ,  2.245 ,  3.061 ,1.077415
80 ,11.810247 ,52127 ,  7.094 ,  1.793 ,  4.089 ,1.234067
85 ,12.260804 ,61366 ,  7.089 ,  1.766 ,  3.491 ,1.452794
90 ,12.883599 ,77791 ,  7.220 ,  1.821 ,  4.166 ,1.841643
95 ,13.961765 ,113243 ,  7.418 ,  1.838 ,  4.770 ,2.680942
100 ,17.406630 ,216407 ,  7.437 ,  1.833 ,  7.565 ,5.123272
